input position,input joint,output joint
"(0.74, 1.13)","(1.78, 0.07)","(1.82, 0.17)"
"(0.74, 1.13)","(1.9, 0.22)","(1.82, 0.17)"
"(0.74, 1.13)","(1.89, 0.25)","(1.82, 0.17)"
"(0.74, 1.13)","(1.72, 0.21)","(1.82, 0.17)"
"(0.74, 1.13)","(1.89, 0.16)","(1.82, 0.17)"
"(0.63, 1.45)","(1.75, 0.4)","(1.82, 0.5)"
"(0.63, 1.45)","(1.84, 0.53)","(1.82, 0.5)"
"(0.63, 1.45)","(1.87, 0.58)","(1.82, 0.5)"
"(0.63, 1.45)","(1.79, 0.51)","(1.82, 0.5)"
"(0.63, 1.45)","(1.82, 0.56)","(1.82, 0.5)"
"(0.63, 1.45)","(1.89, 0.56)","(1.82, 0.5)"
"(0.63, 1.45)","(1.84, 0.55)","(1.82, 0.5)"
"(0.63, 1.45)","(1.89, 0.53)","(1.82, 0.5)"
"(0.63, 1.45)","(1.84, 0.42)","(1.82, 0.5)"
"(0.63, 1.45)","(1.78, 0.46)","(1.82, 0.5)"
"(0.63, 1.45)","(1.91, 0.5)","(1.82, 0.5)"
"(0.63, 1.45)","(1.87, 0.54)","(1.82, 0.5)"
"(0.63, 1.45)","(1.85, 0.54)","(1.82, 0.5)"
"(0.63, 1.45)","(1.87, 0.56)","(1.82, 0.5)"
"(0.63, 1.45)","(1.81, 0.55)","(1.82, 0.5)"
"(0.63, 1.45)","(1.85, 0.53)","(1.82, 0.5)"
"(0.63, 1.45)","(1.87, 0.52)","(1.82, 0.5)"
"(0.63, 1.45)","(1.77, 0.55)","(1.82, 0.5)"
"(0.63, 1.45)","(1.8, 0.44)","(1.82, 0.5)"
"(0.63, 1.45)","(1.74, 0.51)","(1.82, 0.5)"
"(0.43, 1.71)","(1.86, 0.89)","(1.82, 0.83)"
"(0.43, 1.71)","(1.87, 0.89)","(1.82, 0.83)"
"(0.43, 1.71)","(1.78, 0.78)","(1.82, 0.83)"
"(0.43, 1.71)","(1.76, 0.88)","(1.82, 0.83)"
"(0.43, 1.71)","(1.77, 0.81)","(1.82, 0.83)"
"(0.43, 1.71)","(1.84, 0.9)","(1.82, 0.83)"
"(0.43, 1.71)","(1.77, 0.88)","(1.82, 0.83)"
"(0.43, 1.71)","(1.91, 0.75)","(1.82, 0.83)"
"(0.43, 1.71)","(1.91, 0.85)","(1.82, 0.83)"
"(0.43, 1.71)","(1.8, 0.76)","(1.82, 0.83)"
"(0.43, 1.71)","(1.82, 0.78)","(1.82, 0.83)"
"(0.43, 1.71)","(1.87, 0.79)","(1.82, 0.83)"
"(0.43, 1.71)","(1.77, 0.85)","(1.82, 0.83)"
"(0.43, 1.71)","(1.77, 0.76)","(1.82, 0.83)"
"(0.43, 1.71)","(1.77, 0.78)","(1.82, 0.83)"
"(0.43, 1.71)","(1.72, 0.75)","(1.82, 0.83)"
"(0.43, 1.71)","(1.87, 0.85)","(1.82, 0.83)"
"(0.43, 1.71)","(1.82, 0.86)","(1.82, 0.83)"
