input position,input joint,output joint
"(-0.92, 1.0)","(1.47, -3.19)","(1.49, -3.14)"
"(-0.92, 1.0)","(1.46, -3.13)","(1.49, -3.14)"
"(-0.92, 1.0)","(1.49, -3.13)","(1.49, -3.14)"
"(-0.86, 0.67)","(1.46, -2.83)","(1.49, -2.81)"
"(-0.86, 0.67)","(1.53, -2.83)","(1.49, -2.81)"
"(-0.86, 0.67)","(1.49, -2.82)","(1.49, -2.81)"
"(-0.86, 0.67)","(1.45, -2.77)","(1.49, -2.81)"
"(-0.86, 0.67)","(1.51, -2.8)","(1.49, -2.81)"
"(-0.86, 0.67)","(1.44, -2.85)","(1.49, -2.81)"
"(-0.86, 0.67)","(1.45, -2.84)","(1.49, -2.81)"
"(-0.86, 0.67)","(1.44, -2.81)","(1.49, -2.81)"
"(-0.86, 0.67)","(1.48, -2.77)","(1.49, -2.81)"
"(-0.86, 0.67)","(1.47, -2.83)","(1.49, -2.81)"
"(-0.71, 0.38)","(1.53, -2.5)","(1.49, -2.48)"
"(-0.71, 0.38)","(1.51, -2.52)","(1.49, -2.48)"
"(-0.71, 0.38)","(1.49, -2.43)","(1.49, -2.48)"
"(-0.71, 0.38)","(1.46, -2.44)","(1.49, -2.48)"
"(-0.71, 0.38)","(1.54, -2.45)","(1.49, -2.48)"
"(-0.71, 0.38)","(1.46, -2.5)","(1.49, -2.48)"
"(-0.71, 0.38)","(1.46, -2.44)","(1.49, -2.48)"
"(-0.71, 0.38)","(1.46, -2.5)","(1.49, -2.48)"
"(-0.71, 0.38)","(1.5, -2.53)","(1.49, -2.48)"
"(-0.71, 0.38)","(1.44, -2.51)","(1.49, -2.48)"
"(-0.46, 0.16)","(1.53, -2.17)","(1.49, -2.15)"
"(-0.46, 0.16)","(1.45, -2.14)","(1.49, -2.15)"
"(-0.46, 0.16)","(1.5, -2.17)","(1.49, -2.15)"
"(-0.46, 0.16)","(1.51, -2.14)","(1.49, -2.15)"
"(-0.46, 0.16)","(1.44, -2.14)","(1.49, -2.15)"
"(-0.46, 0.16)","(1.45, -2.16)","(1.49, -2.15)"
"(-0.46, 0.16)","(1.51, -2.11)","(1.49, -2.15)"
"(-0.46, 0.16)","(1.5, -2.2)","(1.49, -2.15)"
"(-0.46, 0.16)","(1.46, -2.19)","(1.49, -2.15)"
"(-0.46, 0.16)","(1.5, -2.19)","(1.49, -2.15)"
"(-0.16, 0.03)","(1.48, -1.86)","(1.49, -1.82)"
"(-0.16, 0.03)","(1.49, -1.8)","(1.49, -1.82)"
"(-0.16, 0.03)","(1.47, -1.77)","(1.49, -1.82)"
"(-0.16, 0.03)","(1.48, -1.84)","(1.49, -1.82)"
"(-0.16, 0.03)","(1.53, -1.77)","(1.49, -1.82)"
"(-0.16, 0.03)","(1.48, -1.83)","(1.49, -1.82)"
"(-0.16, 0.03)","(1.52, -1.78)","(1.49, -1.82)"
"(-0.16, 0.03)","(1.48, -1.84)","(1.49, -1.82)"
"(-0.16, 0.03)","(1.47, -1.86)","(1.49, -1.82)"
"(-0.16, 0.03)","(1.53, -1.81)","(1.49, -1.82)"
"(0.17, 0.0)","(1.53, -1.5)","(1.49, -1.49)"
"(0.17, 0.0)","(1.49, -1.52)","(1.49, -1.49)"
"(0.17, 0.0)","(1.51, -1.47)","(1.49, -1.49)"
"(0.17, 0.0)","(1.51, -1.53)","(1.49, -1.49)"
"(0.17, 0.0)","(1.51, -1.46)","(1.49, -1.49)"
"(0.17, 0.0)","(1.49, -1.52)","(1.49, -1.49)"
"(0.17, 0.0)","(1.47, -1.54)","(1.49, -1.49)"
"(0.17, 0.0)","(1.52, -1.49)","(1.49, -1.49)"
"(0.17, 0.0)","(1.5, -1.53)","(1.49, -1.49)"
"(0.17, 0.0)","(1.5, -1.47)","(1.49, -1.49)"
